questions;answers;form
Напишіть символ, яким позначається \n Залізо;Fe;6
Напишіть символ, яким позначається \n Гідроген;H;5
Напишіть символ, яким позначається \n Літій;Li;5
Напишіть символ, яким позначається \n Натрій;Na;5
Напишіть символ, яким позначається \n Калій;K;5
Напишіть символ, яким позначається \n Кальцій;Ca;5
Напишіть символ, яким позначається \n Магній;Mg;5
Напишіть символ, яким позначається \n Мідь;Cu;6
Напишіть символ, яким позначається \n Купрум;Cu;5
Напишіть символ, яким позначається \n Ферум;Fe;5
Напишіть символ, яким позначається \n Водень;H;6
Напишіть символ, яким позначається \n Силіцій;Si;5
Напишіть символ, яким позначається \n Кремній;Si;6
Напишіть символ, яким позначається \n Цинк;Zn;5
Напишіть символ, яким позначається \n Аргентум;Ag;5
Напишіть символ, яким позначається \n Срібло;Ag;6
Напишіть символ, яким позначається \n Стронцій;Sr;5
Напишіть символ, яким позначається \n Берилій;Be;5
Напишіть символ, яким позначається \n Кадмій;Cd;5
Напишіть символ, яким позначається \n Цезій;Cs;5
Напишіть символ, яким позначається \n Барій;Ba;5
Напишіть символ, яким позначається \n Aурум;Au;5
Напишіть символ, яким позначається \n Золото;Au;6
Напишіть символ, яким позначається \n Меркурій;Hg;5
Напишіть символ, яким позначається \n Ртуть;Hg;6
Напишіть символ, яким позначається \n Бор;B;5
Напишіть символ, яким позначається \n Бор;Al;5
Напишіть символ, яким позначається \n Карбон;C;5
Напишіть символ, яким позначається \n Вуглець;C;6
Напишіть символ, яким позначається \n Силіцій;Si;5
Напишіть символ, яким позначається \n Кремній;Si;6
Напишіть символ, яким позначається \n Титан;Ti;5
Напишіть символ, яким позначається \n Цирконій;Zr;5
Напишіть символ, яким позначається \n Плюмбум;Pb;5
Напишіть символ, яким позначається \n Свинець;Pb;6
Напишіть символ, яким позначається \n Нітроген;N;5
Напишіть символ, яким позначається \n Азот;N;6
Напишіть символ, яким позначається \n Фосфор;P;5
Напишіть символ, яким позначається \n Ванадій;V;5
Напишіть символ, яким позначається \n Арсен;As;5
Напишіть символ, яким позначається \n Миш'як;As;6
Напишіть символ, яким позначається \n Оксиген;O;6
Напишіть символ, яким позначається \n Кисень;O;5
Напишіть символ, яким позначається \n Сульфур;S;5
Напишіть символ, яким позначається \n Сірка;S;6
Напишіть символ, яким позначається \n Хром;Cr;5
Напишіть символ, яким позначається \n Селен;Se;5
Напишіть символ, яким позначається \n Молібден;Mo;5
Напишіть символ, яким позначається \n Вольфрам;W;5
Напишіть символ, яким позначається \n Полоній;Po;5
Напишіть символ, яким позначається \n Фтор;F;5
Напишіть символ, яким позначається \n Флуор;F;6
Напишіть символ, яким позначається \n Хлор;Cl;5
Напишіть символ, яким позначається \n Манган;Mn;6
Напишіть символ, яким позначається \n Марганець;Mn;5
Напишіть символ, яким позначається \n Бром;Br;5
Напишіть символ, яким позначається \n Йод;I;5
Напишіть символ, яким позначається \n Гелій;He;5
Напишіть символ, яким позначається \n Неон;Ne;5
Напишіть символ, яким позначається \n Аргон;Ar;5
Напишіть символ, яким позначається \n Ксенон;Xe;5
Напишіть символ, яким позначається \n Радон;Rn;5
Напишіть символ, яким позначається \n Кобальт;Co;5
Напишіть символ, яким позначається \n Нікель;Ni;5
Напишіть символ, яким позначається \n Паладій ;Pd;5
Напишіть символ, яким позначається \n Платина;Pt;5
