questions;answers;form
Напишіть символ, яким позначається  Залізо;Fe;6
Напишіть символ, яким позначається  Гідроген;H;5
Напишіть символ, яким позначається  Літій;Li;5
Напишіть символ, яким позначається  Натрій;Na;5
Напишіть символ, яким позначається  Калій;K;5
Напишіть символ, яким позначається  Кальцій;Ca;5
Напишіть символ, яким позначається  Магній;Mg;5
Напишіть символ, яким позначається  Мідь;Cu;6
Напишіть символ, яким позначається  Купрум;Cu;5
Напишіть символ, яким позначається  Ферум;Fe;5
Напишіть символ, яким позначається  Водень;H;6
Напишіть символ, яким позначається  Силіцій;Si;5
Напишіть символ, яким позначається  Кремній;Si;6
Напишіть символ, яким позначається  Цинк;Zn;5
Напишіть символ, яким позначається  Аргентум;Ag;5
Напишіть символ, яким позначається  Срібло;Ag;6
Напишіть символ, яким позначається  Стронцій;Sr;5
Напишіть символ, яким позначається  Берилій;Be;5
Напишіть символ, яким позначається  Кадмій;Cd;5
Напишіть символ, яким позначається  Цезій;Cs;5
Напишіть символ, яким позначається  Барій;Ba;5
Напишіть символ, яким позначається  Aурум;Au;5
Напишіть символ, яким позначається  Золото;Au;6
Напишіть символ, яким позначається  Меркурій;Hg;5
Напишіть символ, яким позначається  Ртуть;Hg;6
Напишіть символ, яким позначається  Бор;B;5
Напишіть символ, яким позначається  Бор;Al;5
Напишіть символ, яким позначається  Карбон;C;5
Напишіть символ, яким позначається  Вуглець;C;6
Напишіть символ, яким позначається  Силіцій;Si;5
Напишіть символ, яким позначається  Кремній;Si;6
Напишіть символ, яким позначається  Титан;Ti;5
Напишіть символ, яким позначається  Цирконій;Zr;5
Напишіть символ, яким позначається  Плюмбум;Pb;5
Напишіть символ, яким позначається  Свинець;Pb;6
Напишіть символ, яким позначається  Нітроген;N;5
Напишіть символ, яким позначається  Азот;N;6
Напишіть символ, яким позначається  Фосфор;P;5
Напишіть символ, яким позначається  Ванадій;V;5
Напишіть символ, яким позначається  Арсен;As;5
Напишіть символ, яким позначається  Миш'як;As;6
Напишіть символ, яким позначається  Оксиген;O;6
Напишіть символ, яким позначається  Кисень;O;5
Напишіть символ, яким позначається  Сульфур;S;5
Напишіть символ, яким позначається  Сірка;S;6
Напишіть символ, яким позначається  Хром;Cr;5
Напишіть символ, яким позначається  Селен;Se;5
Напишіть символ, яким позначається  Молібден;Mo;5
Напишіть символ, яким позначається  Вольфрам;W;5
Напишіть символ, яким позначається  Полоній;Po;5
Напишіть символ, яким позначається  Фтор;F;5
Напишіть символ, яким позначається  Флуор;F;6
Напишіть символ, яким позначається  Хлор;Cl;5
Напишіть символ, яким позначається  Манган;Mn;6
Напишіть символ, яким позначається  Марганець;Mn;5
Напишіть символ, яким позначається  Бром;Br;5
Напишіть символ, яким позначається  Йод;I;5
Напишіть символ, яким позначається  Гелій;He;5
Напишіть символ, яким позначається  Неон;Ne;5
Напишіть символ, яким позначається  Аргон;Ar;5
Напишіть символ, яким позначається  Ксенон;Xe;5
Напишіть символ, яким позначається  Радон;Rn;5
Напишіть символ, яким позначається  Кобальт;Co;5
Напишіть символ, яким позначається  Нікель;Ni;5
Напишіть символ, яким позначається  Паладій ;Pd;5
Напишіть символ, яким позначається  Платина;Pt;5
