questions;answers;form
„ому дор≥внюЇ сума кут≥в в \n дов≥льному трикутнику?;180;5
„ому дор≥внюЇ будь-€кий кут в \n р≥вностороньому трикутнику?;60;5
ѕеревести в к≥лограми : 1т 1ц 50кг;1150;5
«найти значенн€ виразу: \n 3 - (4-6)+3*2;11;5
„ому дор≥внюЇ периметр  \n пр€мокутника з≥ сторонами 2см ≥ 3см?;10;5
„ому дор≥внюЇ площа пр€мокутника \n з≥ сторонами 2см ≥ 3см?;6;5
„ому дор≥внюЇ сума кут≥в в квадрат≥?;360;5
„ому дор≥внюЇ сторона ромба \n з≥ стороною 5см?;20;5
«найти сторону квадрата \n з площею р≥вною 49;7;5
ѕеревести в сантиметри: \n 20м 40дм 20см;2420;5
—к≥льком градусам  дор≥внюЇ \n пр€мий кут?;90;5
„ому дор≥внюЇ чисельник \n у вираз≥: 4/7 ;4;5
—к≥льки коштуЇ 100грам масло, \n €кщо 300 грам коштуЇ 81 грн;27;6
ѕеревед≥ть у в≥дсотки др≥б 1/5;20;6
„ому дор≥внюЇ см≥жний кут \n до кута в 20 град;160;6
„ому дор≥внюють кути \n перетину д≥агоналей квадрату?;90;6
„ому дор≥внюють кути \n  перетину д≥агоналей ромбу?;90;6
ѕредставити дес€тичому \n  вигл€д≥:  25% ;0.25;6
«найти значенн€ виразу: \n 100/0.01;10000;6
«найти значенн€ виразу: \n 200 - 0.001;199.999;6
—к≥льки градус≥в складаЇ \n повний оберт ;360;6
«найти швидк≥сть л≥така, \n €кщо за одну годину в≥н пролет≥в 700км;700;5
Ўвидк≥сть теч≥њ р≥чки дор≥внюЇ 6км/год. \n  яку в≥дстань пропливе лодка за 1 год?;6;5
